sapling_id,species,drought_tolerance,preferred_zone
SAP-0550,Mahogany,Medium,Buffer Zone
SAP-0551,Mahogany,High,Medium Density Residential Zone
SAP-0552,Narra,Medium,Parks and Recreation Zone
SAP-0553,Ilang-Ilang,High,Forest Zone
SAP-0554,Molave,Low,Parks and Recreation Zone
SAP-0555,Mahogany,High,Buffer Zone
SAP-0556,Narra,High,Medium Density Residential Zone
SAP-0557,Narra,High,Buffer Zone
SAP-0558,Ilang-Ilang,Low,Parks and Recreation Zone
SAP-0559,Narra,Medium,Buffer Zone
SAP-0560,Banaba,High,Medium Density Residential Zone
SAP-0561,Mahogany,Medium,Medium Density Residential Zone
SAP-0562,Banaba,High,Medium Density Residential Zone
SAP-0563,Ilang-Ilang,High,Buffer Zone
SAP-0564,Narra,Low,Buffer Zone
SAP-0565,Narra,Medium,Medium Density Residential Zone
SAP-0566,Narra,Medium,Forest Zone
SAP-0567,Molave,Low,Buffer Zone
SAP-0568,Banaba,Medium,Buffer Zone
SAP-0569,Molave,Low,Parks and Recreation Zone
SAP-0570,Mahogany,Medium,Buffer Zone
SAP-0571,Banaba,Low,Buffer Zone
SAP-0572,Banaba,Medium,Forest Zone
SAP-0573,Ilang-Ilang,Medium,Buffer Zone
SAP-0574,Ilang-Ilang,Medium,Forest Zone
SAP-0575,Narra,High,Medium Density Residential Zone
SAP-0576,Mahogany,High,Parks and Recreation Zone
SAP-0577,Narra,Low,Buffer Zone
SAP-0578,Mahogany,Low,Medium Density Residential Zone
SAP-0579,Banaba,Low,Forest Zone
SAP-0580,Narra,High,Parks and Recreation Zone
SAP-0581,Molave,High,Buffer Zone
SAP-0582,Banaba,Low,Medium Density Residential Zone
SAP-0583,Narra,Low,Forest Zone
SAP-0584,Narra,High,Buffer Zone
SAP-0585,Narra,Low,Medium Density Residential Zone
SAP-0586,Molave,High,Forest Zone
SAP-0587,Ilang-Ilang,Low,Parks and Recreation Zone
SAP-0588,Mahogany,Medium,Forest Zone
SAP-0589,Narra,Low,Parks and Recreation Zone
SAP-0590,Mahogany,Low,Forest Zone
SAP-0591,Mahogany,High,Medium Density Residential Zone
SAP-0592,Banaba,Medium,Buffer Zone
SAP-0593,Narra,Low,Buffer Zone
SAP-0594,Mahogany,Low,Buffer Zone
SAP-0595,Narra,Medium,Parks and Recreation Zone
SAP-0596,Banaba,Medium,Parks and Recreation Zone
SAP-0597,Molave,High,Buffer Zone
SAP-0598,Mahogany,Medium,Medium Density Residential Zone
SAP-0599,Narra,Medium,Medium Density Residential Zone
SAP-0600,Banaba,Low,Forest Zone
SAP-0601,Narra,High,Buffer Zone
SAP-0602,Banaba,High,Forest Zone
SAP-0603,Molave,Low,Forest Zone
SAP-0604,Mahogany,Low,Buffer Zone
SAP-0605,Narra,High,Parks and Recreation Zone
SAP-0606,Ilang-Ilang,Medium,Medium Density Residential Zone
SAP-0607,Molave,Medium,Parks and Recreation Zone
SAP-0608,Ilang-Ilang,High,Medium Density Residential Zone
SAP-0609,Banaba,Medium,Medium Density Residential Zone
SAP-0610,Mahogany,High,Forest Zone
SAP-0611,Ilang-Ilang,High,Parks and Recreation Zone
SAP-0612,Mahogany,Low,Parks and Recreation Zone
SAP-0613,Molave,Low,Forest Zone
SAP-0614,Mahogany,High,Parks and Recreation Zone
SAP-0615,Mahogany,Medium,Parks and Recreation Zone
SAP-0616,Narra,Medium,Forest Zone
SAP-0617,Molave,High,Parks and Recreation Zone
SAP-0618,Molave,Low,Forest Zone
SAP-0619,Banaba,Medium,Buffer Zone
SAP-0620,Ilang-Ilang,High,Forest Zone
SAP-0621,Mahogany,Low,Medium Density Residential Zone
SAP-0622,Mahogany,High,Buffer Zone
SAP-0623,Mahogany,High,Buffer Zone
SAP-0624,Molave,High,Medium Density Residential Zone
SAP-0625,Banaba,High,Parks and Recreation Zone
SAP-0626,Ilang-Ilang,Low,Parks and Recreation Zone
SAP-0627,Molave,Medium,Parks and Recreation Zone
SAP-0628,Narra,Low,Parks and Recreation Zone
SAP-0629,Molave,Low,Forest Zone
SAP-0630,Mahogany,Medium,Parks and Recreation Zone
SAP-0631,Mahogany,Low,Parks and Recreation Zone
SAP-0632,Ilang-Ilang,High,Parks and Recreation Zone
SAP-0633,Molave,Low,Forest Zone
SAP-0634,Ilang-Ilang,Medium,Forest Zone
SAP-0635,Mahogany,High,Forest Zone
SAP-0636,Narra,High,Buffer Zone
SAP-0637,Ilang-Ilang,High,Buffer Zone
SAP-0638,Narra,Medium,Parks and Recreation Zone
SAP-0639,Mahogany,Medium,Medium Density Residential Zone
SAP-0640,Mahogany,Medium,Medium Density Residential Zone
SAP-0641,Ilang-Ilang,Medium,Medium Density Residential Zone
SAP-0642,Ilang-Ilang,High,Parks and Recreation Zone
SAP-0643,Narra,Medium,Medium Density Residential Zone
SAP-0644,Banaba,Low,Forest Zone
SAP-0645,Mahogany,Low,Buffer Zone
SAP-0646,Mahogany,High,Medium Density Residential Zone
SAP-0647,Mahogany,High,Medium Density Residential Zone
SAP-0648,Molave,Low,Medium Density Residential Zone
SAP-0649,Mahogany,High,Parks and Recreation Zone
SAP-0650,Narra,High,Parks and Recreation Zone
SAP-0651,Banaba,Low,Buffer Zone
SAP-0652,Narra,Low,Parks and Recreation Zone
SAP-0653,Ilang-Ilang,Medium,Forest Zone
SAP-0654,Banaba,High,Forest Zone
SAP-0655,Mahogany,Medium,Parks and Recreation Zone
SAP-0656,Ilang-Ilang,Low,Medium Density Residential Zone
SAP-0657,Molave,Medium,Forest Zone
SAP-0658,Mahogany,Medium,Medium Density Residential Zone
SAP-0659,Molave,High,Buffer Zone
SAP-0660,Narra,High,Buffer Zone
SAP-0661,Ilang-Ilang,Medium,Medium Density Residential Zone
SAP-0662,Narra,High,Parks and Recreation Zone
SAP-0663,Mahogany,Low,Buffer Zone
SAP-0664,Molave,Medium,Buffer Zone
SAP-0665,Molave,Medium,Parks and Recreation Zone
SAP-0666,Banaba,Low,Forest Zone
SAP-0667,Narra,Medium,Medium Density Residential Zone
SAP-0668,Mahogany,High,Buffer Zone
SAP-0669,Mahogany,Medium,Forest Zone
SAP-0670,Molave,Medium,Forest Zone
SAP-0671,Narra,High,Buffer Zone
SAP-0672,Mahogany,Medium,Forest Zone
SAP-0673,Ilang-Ilang,Medium,Buffer Zone
SAP-0674,Banaba,Medium,Parks and Recreation Zone
SAP-0675,Molave,High,Forest Zone
SAP-0676,Banaba,Medium,Forest Zone
SAP-0677,Banaba,Low,Buffer Zone
SAP-0678,Mahogany,High,Forest Zone
SAP-0679,Narra,High,Parks and Recreation Zone
SAP-0680,Mahogany,Low,Parks and Recreation Zone
SAP-0681,Ilang-Ilang,High,Parks and Recreation Zone
SAP-0682,Molave,Medium,Parks and Recreation Zone
SAP-0683,Banaba,Medium,Forest Zone
SAP-0684,Ilang-Ilang,Low,Forest Zone
SAP-0685,Narra,Medium,Forest Zone
SAP-0686,Banaba,Medium,Parks and Recreation Zone
SAP-0687,Ilang-Ilang,High,Forest Zone
SAP-0688,Narra,High,Forest Zone
SAP-0689,Molave,Low,Medium Density Residential Zone
SAP-0690,Mahogany,High,Buffer Zone
SAP-0691,Molave,Medium,Buffer Zone
SAP-0692,Mahogany,Low,Parks and Recreation Zone
SAP-0693,Molave,Low,Buffer Zone
SAP-0694,Molave,Medium,Medium Density Residential Zone
SAP-0695,Mahogany,Low,Forest Zone
SAP-0696,Banaba,Medium,Forest Zone
SAP-0697,Ilang-Ilang,High,Buffer Zone
SAP-0698,Banaba,Medium,Parks and Recreation Zone
SAP-0699,Ilang-Ilang,Low,Medium Density Residential Zone
SAP-0700,Banaba,High,Medium Density Residential Zone
SAP-0701,Banaba,High,Forest Zone
SAP-0702,Narra,Medium,Forest Zone
SAP-0703,Molave,Low,Buffer Zone
SAP-0704,Mahogany,High,Parks and Recreation Zone
SAP-0705,Ilang-Ilang,High,Buffer Zone
SAP-0706,Mahogany,Medium,Medium Density Residential Zone
SAP-0707,Narra,Low,Buffer Zone
SAP-0708,Mahogany,Medium,Buffer Zone
SAP-0709,Molave,Low,Forest Zone
SAP-0710,Ilang-Ilang,Medium,Buffer Zone
SAP-0711,Molave,Low,Medium Density Residential Zone
SAP-0712,Ilang-Ilang,High,Buffer Zone
SAP-0713,Mahogany,Low,Parks and Recreation Zone
SAP-0714,Ilang-Ilang,Medium,Medium Density Residential Zone
SAP-0715,Narra,High,Buffer Zone
SAP-0716,Narra,Low,Medium Density Residential Zone
SAP-0717,Ilang-Ilang,Medium,Medium Density Residential Zone
SAP-0718,Ilang-Ilang,High,Medium Density Residential Zone
SAP-0719,Banaba,High,Forest Zone
SAP-0720,Mahogany,Low,Forest Zone
SAP-0721,Ilang-Ilang,High,Parks and Recreation Zone
SAP-0722,Ilang-Ilang,High,Forest Zone
SAP-0723,Mahogany,Medium,Buffer Zone
SAP-0724,Narra,High,Parks and Recreation Zone
SAP-0725,Molave,Low,Forest Zone
SAP-0726,Mahogany,High,Forest Zone
SAP-0727,Narra,High,Forest Zone
SAP-0728,Banaba,Low,Forest Zone
SAP-0729,Mahogany,Low,Medium Density Residential Zone
SAP-0730,Mahogany,Medium,Parks and Recreation Zone
SAP-0731,Molave,Low,Medium Density Residential Zone
SAP-0732,Mahogany,Low,Forest Zone
SAP-0733,Mahogany,High,Buffer Zone
SAP-0734,Molave,Low,Parks and Recreation Zone
SAP-0735,Molave,Low,Medium Density Residential Zone
SAP-0736,Ilang-Ilang,Low,Buffer Zone
SAP-0737,Banaba,High,Forest Zone
SAP-0738,Banaba,Low,Buffer Zone
SAP-0739,Ilang-Ilang,Medium,Parks and Recreation Zone
SAP-0740,Banaba,High,Medium Density Residential Zone
SAP-0741,Narra,Low,Forest Zone
SAP-0742,Ilang-Ilang,High,Medium Density Residential Zone
SAP-0743,Mahogany,Low,Buffer Zone
SAP-0744,Narra,Medium,Parks and Recreation Zone
SAP-0745,Molave,Low,Parks and Recreation Zone
SAP-0746,Ilang-Ilang,High,Forest Zone
SAP-0747,Molave,Low,Forest Zone
SAP-0748,Ilang-Ilang,Low,Buffer Zone
SAP-0749,Banaba,Medium,Medium Density Residential Zone
SAP-0750,Banaba,High,Buffer Zone
SAP-0751,Narra,Medium,Buffer Zone
SAP-0752,Molave,Low,Buffer Zone
SAP-0753,Banaba,Medium,Parks and Recreation Zone
SAP-0754,Ilang-Ilang,Low,Forest Zone
SAP-0755,Mahogany,High,Buffer Zone
SAP-0756,Molave,Low,Buffer Zone
SAP-0757,Banaba,High,Medium Density Residential Zone
SAP-0758,Molave,High,Forest Zone
SAP-0759,Narra,High,Medium Density Residential Zone
SAP-0760,Narra,Medium,Parks and Recreation Zone
SAP-0761,Molave,Medium,Buffer Zone
SAP-0762,Ilang-Ilang,Low,Medium Density Residential Zone
SAP-0763,Ilang-Ilang,High,Buffer Zone
SAP-0764,Banaba,High,Parks and Recreation Zone
SAP-0765,Molave,Medium,Parks and Recreation Zone
SAP-0766,Banaba,Low,Parks and Recreation Zone
SAP-0767,Ilang-Ilang,Medium,Parks and Recreation Zone
SAP-0768,Mahogany,High,Parks and Recreation Zone
SAP-0769,Narra,High,Parks and Recreation Zone
SAP-0770,Molave,Medium,Medium Density Residential Zone
SAP-0771,Banaba,Low,Buffer Zone
SAP-0772,Mahogany,Low,Medium Density Residential Zone
SAP-0773,Mahogany,Medium,Medium Density Residential Zone
SAP-0774,Narra,Low,Medium Density Residential Zone
SAP-0775,Molave,Medium,Parks and Recreation Zone
SAP-0776,Molave,Low,Parks and Recreation Zone
SAP-0777,Banaba,High,Forest Zone
SAP-0778,Banaba,High,Medium Density Residential Zone
SAP-0779,Molave,High,Parks and Recreation Zone
SAP-0780,Mahogany,Low,Forest Zone
SAP-0781,Mahogany,High,Buffer Zone
SAP-0782,Narra,Medium,Forest Zone
SAP-0783,Mahogany,High,Forest Zone
SAP-0784,Mahogany,Medium,Buffer Zone
SAP-0785,Mahogany,Medium,Parks and Recreation Zone
SAP-0786,Banaba,Medium,Forest Zone
SAP-0787,Banaba,High,Forest Zone
SAP-0788,Banaba,Medium,Forest Zone
SAP-0789,Narra,High,Parks and Recreation Zone
SAP-0790,Molave,Medium,Parks and Recreation Zone
SAP-0791,Banaba,Medium,Medium Density Residential Zone
SAP-0792,Molave,Low,Buffer Zone
SAP-0793,Ilang-Ilang,High,Buffer Zone
SAP-0794,Molave,Low,Medium Density Residential Zone
SAP-0795,Molave,Medium,Forest Zone
SAP-0796,Ilang-Ilang,High,Buffer Zone
SAP-0797,Molave,Low,Forest Zone
SAP-0798,Molave,Low,Forest Zone
SAP-0799,Banaba,Low,Buffer Zone
SAP-0800,Mahogany,Medium,Medium Density Residential Zone
SAP-0801,Narra,High,Medium Density Residential Zone
SAP-0802,Mahogany,Low,Medium Density Residential Zone
SAP-0803,Narra,High,Forest Zone
SAP-0804,Mahogany,Medium,Parks and Recreation Zone
SAP-0805,Molave,Medium,Parks and Recreation Zone
SAP-0806,Narra,Medium,Buffer Zone
SAP-0807,Banaba,Medium,Forest Zone
SAP-0808,Narra,Medium,Buffer Zone
SAP-0809,Banaba,Medium,Parks and Recreation Zone
SAP-0810,Mahogany,Low,Medium Density Residential Zone
SAP-0811,Narra,Low,Medium Density Residential Zone
SAP-0812,Molave,Medium,Medium Density Residential Zone
SAP-0813,Banaba,Low,Parks and Recreation Zone
SAP-0814,Narra,High,Buffer Zone
SAP-0815,Ilang-Ilang,Medium,Parks and Recreation Zone
SAP-0816,Narra,Medium,Parks and Recreation Zone
SAP-0817,Ilang-Ilang,Low,Buffer Zone
SAP-0818,Molave,Medium,Medium Density Residential Zone
SAP-0819,Ilang-Ilang,High,Buffer Zone
SAP-0820,Molave,High,Parks and Recreation Zone
SAP-0821,Banaba,High,Forest Zone
SAP-0822,Banaba,High,Buffer Zone
SAP-0823,Mahogany,Low,Parks and Recreation Zone
SAP-0824,Molave,Medium,Parks and Recreation Zone
SAP-0825,Narra,Low,Medium Density Residential Zone
SAP-0826,Mahogany,Low,Buffer Zone
SAP-0827,Mahogany,Low,Forest Zone
SAP-0828,Molave,Low,Buffer Zone
SAP-0829,Narra,Medium,Forest Zone
SAP-0830,Mahogany,High,Forest Zone
SAP-0831,Narra,Low,Medium Density Residential Zone
SAP-0832,Banaba,Low,Medium Density Residential Zone
SAP-0833,Narra,Low,Forest Zone
SAP-0834,Ilang-Ilang,Low,Buffer Zone
SAP-0835,Narra,Medium,Medium Density Residential Zone
SAP-0836,Mahogany,Low,Buffer Zone
SAP-0837,Ilang-Ilang,High,Buffer Zone
SAP-0838,Ilang-Ilang,High,Medium Density Residential Zone
SAP-0839,Banaba,High,Forest Zone
SAP-0840,Narra,Low,Parks and Recreation Zone
SAP-0841,Narra,Low,Buffer Zone
SAP-0842,Mahogany,Low,Parks and Recreation Zone
SAP-0843,Ilang-Ilang,Low,Buffer Zone
SAP-0844,Molave,Medium,Forest Zone
SAP-0845,Narra,Low,Forest Zone
SAP-0846,Molave,Medium,Medium Density Residential Zone
SAP-0847,Molave,Medium,Parks and Recreation Zone
SAP-0848,Narra,Low,Parks and Recreation Zone
SAP-0849,Narra,Medium,Medium Density Residential Zone
SAP-0850,Banaba,Medium,Buffer Zone
SAP-0851,Molave,Low,Parks and Recreation Zone
SAP-0852,Molave,Medium,Medium Density Residential Zone
SAP-0853,Ilang-Ilang,High,Forest Zone
SAP-0854,Ilang-Ilang,High,Medium Density Residential Zone
SAP-0855,Ilang-Ilang,Medium,Forest Zone
SAP-0856,Mahogany,High,Forest Zone
SAP-0857,Mahogany,Medium,Forest Zone
SAP-0858,Banaba,Low,Forest Zone
SAP-0859,Banaba,High,Buffer Zone
SAP-0860,Molave,Low,Parks and Recreation Zone
SAP-0861,Mahogany,Low,Medium Density Residential Zone
SAP-0862,Mahogany,Low,Parks and Recreation Zone
SAP-0863,Mahogany,Medium,Buffer Zone
SAP-0864,Banaba,Low,Buffer Zone
SAP-0865,Ilang-Ilang,Medium,Buffer Zone
SAP-0866,Molave,High,Medium Density Residential Zone
SAP-0867,Molave,Medium,Parks and Recreation Zone
SAP-0868,Narra,Low,Medium Density Residential Zone
SAP-0869,Mahogany,Low,Buffer Zone
SAP-0870,Mahogany,High,Parks and Recreation Zone
SAP-0871,Banaba,Medium,Forest Zone
SAP-0872,Ilang-Ilang,Medium,Medium Density Residential Zone
SAP-0873,Mahogany,High,Parks and Recreation Zone
SAP-0874,Molave,High,Parks and Recreation Zone
SAP-0875,Banaba,Medium,Medium Density Residential Zone
SAP-0876,Molave,Low,Medium Density Residential Zone
SAP-0877,Molave,High,Medium Density Residential Zone
SAP-0878,Molave,Low,Forest Zone
SAP-0879,Mahogany,High,Forest Zone
SAP-0880,Banaba,High,Parks and Recreation Zone
SAP-0881,Mahogany,Low,Parks and Recreation Zone
SAP-0882,Ilang-Ilang,Low,Parks and Recreation Zone
SAP-0883,Ilang-Ilang,Medium,Parks and Recreation Zone
SAP-0884,Ilang-Ilang,Medium,Buffer Zone
SAP-0885,Ilang-Ilang,High,Parks and Recreation Zone
SAP-0886,Narra,Low,Buffer Zone
SAP-0887,Molave,Low,Parks and Recreation Zone
SAP-0888,Ilang-Ilang,Medium,Forest Zone
SAP-0889,Narra,Medium,Medium Density Residential Zone
SAP-0890,Banaba,Low,Medium Density Residential Zone
SAP-0891,Banaba,Low,Buffer Zone
SAP-0892,Mahogany,Low,Buffer Zone
SAP-0893,Mahogany,High,Medium Density Residential Zone
SAP-0894,Molave,Medium,Buffer Zone
SAP-0895,Banaba,Low,Parks and Recreation Zone
SAP-0896,Mahogany,Low,Parks and Recreation Zone
SAP-0897,Mahogany,Medium,Buffer Zone
SAP-0898,Narra,Low,Medium Density Residential Zone
SAP-0899,Ilang-Ilang,Medium,Buffer Zone
SAP-0900,Molave,High,Buffer Zone
SAP-0901,Ilang-Ilang,Medium,Buffer Zone
SAP-0902,Molave,Low,Buffer Zone
SAP-0903,Molave,Low,Medium Density Residential Zone
SAP-0904,Narra,Medium,Forest Zone
SAP-0905,Molave,Low,Forest Zone
SAP-0906,Narra,Low,Parks and Recreation Zone
SAP-0907,Banaba,Low,Medium Density Residential Zone
SAP-0908,Mahogany,Low,Medium Density Residential Zone
SAP-0909,Molave,Medium,Medium Density Residential Zone
SAP-0910,Banaba,Low,Buffer Zone
SAP-0911,Molave,High,Parks and Recreation Zone
SAP-0912,Molave,Low,Forest Zone
SAP-0913,Ilang-Ilang,Medium,Buffer Zone
SAP-0914,Mahogany,High,Buffer Zone
SAP-0915,Mahogany,Medium,Parks and Recreation Zone
SAP-0916,Molave,Low,Parks and Recreation Zone
SAP-0917,Molave,High,Buffer Zone
SAP-0918,Ilang-Ilang,High,Parks and Recreation Zone
SAP-0919,Mahogany,Low,Medium Density Residential Zone
SAP-0920,Banaba,Medium,Buffer Zone
SAP-0921,Narra,Medium,Forest Zone
SAP-0922,Mahogany,High,Forest Zone
SAP-0923,Banaba,Medium,Parks and Recreation Zone
SAP-0924,Banaba,Medium,Medium Density Residential Zone
SAP-0925,Ilang-Ilang,Medium,Parks and Recreation Zone
SAP-0926,Banaba,Low,Forest Zone
SAP-0927,Narra,Medium,Forest Zone
SAP-0928,Banaba,Medium,Medium Density Residential Zone
SAP-0929,Narra,High,Medium Density Residential Zone
SAP-0930,Banaba,High,Forest Zone
SAP-0931,Ilang-Ilang,Low,Parks and Recreation Zone
SAP-0932,Molave,Medium,Parks and Recreation Zone
SAP-0933,Narra,Low,Parks and Recreation Zone
SAP-0934,Molave,High,Buffer Zone
SAP-0935,Ilang-Ilang,High,Buffer Zone
SAP-0936,Molave,Medium,Buffer Zone
SAP-0937,Narra,Medium,Medium Density Residential Zone
SAP-0938,Mahogany,Low,Buffer Zone
SAP-0939,Molave,High,Buffer Zone
SAP-0940,Molave,High,Medium Density Residential Zone
SAP-0941,Ilang-Ilang,Low,Medium Density Residential Zone
SAP-0942,Banaba,Medium,Buffer Zone
SAP-0943,Narra,Low,Buffer Zone
SAP-0944,Ilang-Ilang,Medium,Buffer Zone
SAP-0945,Narra,High,Forest Zone
SAP-0946,Narra,Low,Medium Density Residential Zone
SAP-0947,Narra,Medium,Buffer Zone
SAP-0948,Narra,Low,Buffer Zone
SAP-0949,Molave,Medium,Parks and Recreation Zone
SAP-0950,Narra,Medium,Forest Zone
SAP-0951,Molave,Low,Forest Zone
SAP-0952,Narra,Medium,Medium Density Residential Zone
SAP-0953,Molave,Low,Parks and Recreation Zone
SAP-0954,Molave,Low,Parks and Recreation Zone
SAP-0955,Banaba,Low,Forest Zone
SAP-0956,Molave,High,Forest Zone
SAP-0957,Narra,High,Parks and Recreation Zone
SAP-0958,Mahogany,Medium,Forest Zone
SAP-0959,Banaba,Low,Buffer Zone
SAP-0960,Mahogany,Low,Medium Density Residential Zone
SAP-0961,Molave,Medium,Buffer Zone
SAP-0962,Narra,High,Buffer Zone
SAP-0963,Narra,Low,Parks and Recreation Zone
SAP-0964,Molave,Low,Buffer Zone
SAP-0965,Mahogany,High,Buffer Zone
SAP-0966,Ilang-Ilang,Medium,Buffer Zone
SAP-0967,Ilang-Ilang,High,Forest Zone
SAP-0968,Molave,High,Forest Zone
SAP-0969,Banaba,Low,Medium Density Residential Zone
SAP-0970,Molave,Low,Buffer Zone
SAP-0971,Ilang-Ilang,High,Medium Density Residential Zone
SAP-0972,Narra,High,Forest Zone
SAP-0973,Molave,Medium,Medium Density Residential Zone
SAP-0974,Narra,Low,Medium Density Residential Zone
SAP-0975,Banaba,High,Medium Density Residential Zone
SAP-0976,Molave,High,Buffer Zone
SAP-0977,Banaba,High,Forest Zone
SAP-0978,Mahogany,Medium,Forest Zone
SAP-0979,Banaba,Low,Forest Zone
SAP-0980,Narra,Low,Buffer Zone
SAP-0981,Ilang-Ilang,Low,Parks and Recreation Zone
SAP-0982,Molave,High,Buffer Zone
SAP-0983,Mahogany,Low,Buffer Zone
SAP-0984,Mahogany,Medium,Parks and Recreation Zone
SAP-0985,Ilang-Ilang,Medium,Forest Zone
SAP-0986,Narra,Medium,Medium Density Residential Zone
SAP-0987,Ilang-Ilang,Medium,Buffer Zone
SAP-0988,Mahogany,High,Medium Density Residential Zone
SAP-0989,Ilang-Ilang,Low,Parks and Recreation Zone
SAP-0990,Narra,Medium,Parks and Recreation Zone
SAP-0991,Molave,Medium,Medium Density Residential Zone
SAP-0992,Ilang-Ilang,Medium,Medium Density Residential Zone
SAP-0993,Ilang-Ilang,High,Medium Density Residential Zone
SAP-0994,Narra,High,Medium Density Residential Zone
SAP-0995,Molave,Low,Parks and Recreation Zone
SAP-0996,Banaba,Low,Forest Zone
SAP-0997,Mahogany,High,Parks and Recreation Zone
SAP-0998,Banaba,High,Medium Density Residential Zone
SAP-0999,Molave,Medium,Buffer Zone
SAP-1000,Banaba,High,Forest Zone
